stock_code,weight
300058,0.0392156862745098
300570,0.038431372549019606
688629,0.03764705882352941
300136,0.03686274509803922
000539,0.03607843137254902
603568,0.03529411764705882
300390,0.034509803921568626
688037,0.03372549019607843
002532,0.03294117647058824
002517,0.03215686274509804
300207,0.03137254901960784
688676,0.03058823529411765
300454,0.02980392156862745
603920,0.029019607843137254
300487,0.02823529411764706
600126,0.027450980392156862
688220,0.02666666666666667
002294,0.02588235294117647
002273,0.025098039215686273
688347,0.02431372549019608
002265,0.023529411764705882
300604,0.022745098039215685
301611,0.02196078431372549
603806,0.021176470588235293
688361,0.0203921568627451
300679,0.0196078431372549
301308,0.018823529411764704
603699,0.01803921568627451
688387,0.017254901960784313
002558,0.01647058823529412
300751,0.01568627450980392
688183,0.014901960784313726
688172,0.01411764705882353
002851,0.013333333333333334
600602,0.012549019607843137
688180,0.011764705882352941
002837,0.010980392156862745
002821,0.01019607843137255
600563,0.009411764705882352
000537,0.008627450980392156
600549,0.00784313725490196
000062,0.007058823529411765
600528,0.006274509803921568
300054,0.005490196078431373
688192,0.004705882352941176
688027,0.00392156862745098
605589,0.003137254901960784
688336,0.002352941176470588
000155,0.001568627450980392
600498,0.000784313725490196
